Label,OCR Text
vehicleplate,"['@d""803L  Sc']"
vehicleplate,['DD 8034 Sri 01.25']
vehicleplate,['DD *8034 SG 01.25']
vehicleplate,['DD 8034 SG) 01.25']
vehicleplate,['@D 8034 SC] 01.25']
vehicleplate,['DD 8034 SG} 01.25']
vehicleplate,"['DD""8034 SG 01.25']"
vehicleplate,['DD *8034 SC 01.25']
vehicleplate,['Dd 8034 SG 01.25']
vehicleplate,['DD 8034 SG} 01.25']
vehicleplate,"['DD ""8032 SG 01.25']"
vehicleplate,"['Dd""8034 SG 01.25']"
vehicleplate,"['DD ""8032 SC 01.25']"
vehicleplate,"['DD ""8034 SC 01.25']"
vehicleplate,"['DD ""8034 SC 01.25']"
vehicleplate,"['DD ""8034 SC 01.25']"
vehicleplate,"['DD""8034 SG 01.25']"
vehicleplate,['DD~ 8034 SG 01.25']
vehicleplate,['DD  8034 SG 01.25']
vehicleplate,['DD   8034 SG 01.25']
vehicleplate,['DD  803L SC 01.25']
vehicleplate,['DD  803L SG 01.25']
vehicleplate,['DD *8034 SC 01.25']
vehicleplate,"['DD ""8034 SC 01.25']"
vehicleplate,"['DD"" 8034 SG 01.25']"
vehicleplate,['DD 8034 SC 01.25']
vehicleplate,['DD 8034 SG 01.25']
vehicleplate,['DD 8034 SG 01.25']
vehicleplate,"['Dd""8034 SC 01.25_']"
vehicleplate,['DD 8034 SG 01.25']
vehicleplate,['DD  8034 SC 01.25']
